ISO,quarantine _1,quarantine _2,quarantine _3,quarantine _4,quarantine _5,quarantine _6,quarantine _7,quarantine - Split 9,covidTest_1,covidTest_2,covidTest_3,covidTest_4,covidTest_5,covidTest_6,covidTest_7,covidTest_8,covidTest_9,covidTest_10,covidTest_11,covidTest_12,
ABW,Self-isolation at own accommodation- subject to PCR,"You can also choose to take a COVID-19 test, for a fee, on arrival in Aruba, but a mandatory quarantine period of 24 hours is required for all visitors who choose to be tested on arrival",Those who test positive for COVID-19 during their stay will be required to self-isolate,,,,,,COVID-19 negative certification required for entering the country,Travellers are asked to provide a negative COVID-19 test result within 72 hours of departure for Aruba; There are a number of exemptions to these requirements,Children under 15 years are not required to provide a negative COVID-19 test result on entry,Transit  transfer passengers who do not enter the country are not required to fill out the online Embarkation  Disembarkation card nor provide a negative COVID-19 test result,"You can also choose to take a COVID-19 test, for a fee, on arrival in Aruba, but a mandatory quarantine period of 24 hours is required for all visitors who choose to be tested on arrival",,,,,,,,
IND 
AUS,Quarantine requirement at government designated site,All international travellers entering Australia need to undertake a mandatory 14-day quarantine at a designated facility (for example a hotel) at their port of arrival,,,,,,,COVID-19 negative certification not required    not known,Returning Australians and other travellers to Australia must return a negative COVID-19 test prior to departure,All travellers arriving in Australia may need to undergo enhanced health screening on arrival before going into quarantine,This can include temperature testing,You may also be asked to undergo screening or testing in quarantine,,,,,,,,
AUT,Self-isolation at own accommodation,"Travel from countries with high infection rates Travellers arriving from Croatia, Lithuania, Netherlands, Sweden and Cyprus, Australia, Israel, New Zealand, Singapore and South Korea are not subject to the quarantine requirement if they either: are vaccinated;have recovered from COVID-19","If such proof cannot be provided, the person has to provide a negative test result or carry out a test within 24 hours after entry, and go into 10 days of quarantine",The quarantine can be ended from day 5 after entry (day of entry = 0) with a new negative test result,,,,,COVID-19 negative certification required for entering the country,"*Travel from safe countries with low infection rates  Travellers arriving from countries with low infection rates must either: be vaccinated; having recovered from COVID-19; provide a pre-departure PCR test (taken within 72 hours prior to arrival) or a rapid antigen test (taken within 48 hours prior to arrival), or carry out a test within 24 hours after entry","All EU and Schengen Associated Countries, with the exclusion of Croatia, Lithuania, Netherlands, Sweden and Cyprus, are currently considered low infection rate countries","*Travel from countries with high infection rates  Travellers arriving from Croatia, Lithuania, Netherlands, Sweden and Cyprus are not subject to the quarantine requirement if they either: are vaccinated; have recovered from COVID-19","If such proof cannot be provided, the person has to provide a negative test result or carry out a test within 24 hours after entry","Entry from states with confirmed virus variants (currently Brazil, India, the United Kingdom and South Africa) is only possible to a very limited extent",Entry is only possible with a negative molecular biological test result (eg. PCR) and quarantine,The testing obligation also applies to vaccinated and recovered persons,"A landing ban is in place for all flights from Brazil, India, South Africa and, as of 1 June 2021, for the United Kingdom as well",,,,
AZE,Quarantine requirement at government designated site,All passengers will still need to self-isolate for 14 days,It is possible to end self-isolation if you are tested again 6 days after arrival and the result is negative,Anyone who displays symptoms of COVID-19 on arrival in Azerbaijan will be directed to the medical station at the airport,From there the case will be reported to the Emergency Medical Services,,,,COVID-19 negative certification required for entering the country,All passengers travelling to or from Azerbaijan will require a negative COVID-19 test,"The test itself can be taken more than 48 hours before your flight, but the certificate showing the negative test result will only be accepted if issued within 48 hours of the flight‚Äôs arrival time in Baku",,,,,,,,,,
BHS,Quarantine requirement unknown,"After 1 November, travellers who are staying in The Bahamas more than four nights five days will be required to take an additional rapid antigen test",More details are available at the Ministry of Tourism website,,,,,,COVID-19 negative certification required for entering the country,A negative COVID-19 RT PCR (molecular swab) test certificate is required on entry as well as a health visa application for international travel,The negative test results must be uploaded when completing the Travel Health Visa Application prior to arrival,The test must not have been taken more than 5 days prior to the date of arrival,The health visa application is available from from the Bahamas travel page,Travellers are required to opt-in to a health insurance which covers them for the duration of their stay,"After 1 November, travellers who are staying in The Bahamas more than four nights  five days will be required to take a rapid antigen test and complete daily health questionnaires",More details are available at the Ministry of Tourism website,,,,,
BHR,Self-isolation at own accommodation- subject to PCR,"All arrivalsinto Bahrain aged 7 years and above, will be subject to coronavirus testing procedures, and will be required to self-isolate until test results have been received, unless they are able to prove an exemption as set out above","Those who test positive will be subject to further quarantine measures and health treatment, offered free of charge, at hospital or quarantine centres",Those who test positive but are without symptoms may be permitted to self-isolate at home or at their hotel,"Two additional coronavirus tests are required five and ten days following arrival, which can be booked through the ‚ BeAware app or by calling 444",,,,COVID-19 negative certification required for entering the country,"All arrivals into Bahrain aged 7 years and above, must pay for and undergo a coronavirus test on arrival and self-isolate until test results have been received, unless they are able to prove an exemption as set out above",The fixed fee will also cover a further coronavirus test required to be taken on the tenth day after arrival into Bahrain,"Those arriving via the King Fahd Causeway will not be tested but unless exempt as above, are required to provide a negative PCR certificate valid from a test taken up to 72 hours before arrival into Bahrain",,,,,,,,,
BGD,Self-isolation at own accommodation or government facility,"Bangladesh operates a number of quarantine regimes depending on where passengers are travelling from: - Passengers arriving from the UK, together with other countries not listed below, are required to complete a 14 day period of quarantine; - Passengers from, or who have visited within the previous 15 days, Argentina, Brazil, Colombia, Costa Rica, Cyprus, Georgia, India, Iran, Mongolia, Nepal, Oman, South Africa and Tunisia are not permitted to travel to or enter Bangladesh; - Passengers arriving from Austria, Azerbaijan, Belgium, Chile, Croatia, Estonia, France, Germany, Greece, Hungary, Iraq, Italy, Latvia, Lithuania, Netherlands, Paraguay, Peru, Slovenia, Spain, Sweden, Switzerland, Turkey and Uruguay are required to complete the 14 day period of quarantine; - Passengers arriving from Bahrain, Kuwait and Qatar are required to complete a 3 day period of quarantine at a government approved hotel, and must travel with confirmation of these arrangements, where they will be tested for COVID-19",Those testing negative for COVID-19 will be allowed to complete the remainder of a 14 day quarantine period through home quarantine,The Bangladesh authorities will retain passports of any passengers in quarantine and will return them at the end of the quarantine period,"In all circumstances, people staying in a government approved hotel, government facility or hospital will need to cover the costs of those stays",,,,COVID-19 negative certification required for entering the country,"On arrival in Bangladesh, all foreign nationals need to produce a medical certificate issued within 72 hours of travel indicating the passenger is COVID-19 negative",,,,,,,,,,,
BRB,Quarantine requirement at government designated site,"On arrival, you will be quarantined at approved facilities (a designated holding hotel, approved villa or a government facility at your own expense)",You will be required to undergo a second PCR test 5 days after arrival,"For unvaccinated arrivals: on arrival, you will be quarantined at approved facilities (a designated holding hotel, approved villa or a government facility at your own expense)",You will be required to undergo a second PCR test 5 days after arrival,You will need to remain in your hotel room and may be required to wear an electronic tracking bracelet until you receive the results of your second test,"If the result of that second test is negative, you will not be subject to further quarantine",,COVID-19 negative certification required for entering the country  All travellers must present on arrival a valid COVID-19 PCR negative test result taken no more than 3 days in advance of your flight on arrival,Please note that the test can be taken at any time during the day 3 days prior to the date of your arrival in Barbados,,,,,,,,,,,
BLR,Self-isolation at own accommodation,There is no need to self-isolate or provide a negative coronavirus test certificate for BNs who plan to transit Belarus within 24 hours and provide evidence they will exit within this timeframe,,,,,,,COVID-19 negative certification required for entering the country,"All foreign arrivals, above the age of six, must have a medical certificate (PCR) showing a negative coronavirus test result, issued no later than 72 hours before entry",This requirement does not apply to holders of permanent or temporary residency in Belarus,There is no need to self-isolate or provide a negative coronavirus test certificate for BNs who plan to transit Belarus within 24 hours and provide evidence they will exit within this timeframe,,,,,,,,,
BEL,"Self-isolation at own accommodation All travellers who have been at least 48 hours in a ""red"" zone, and who will stay at least 48 hours in Belgium, must complete a 10-day mandatory quarantine",The quarantine period may be shortened by taking a second PCR test no less than 7 days after arrival,"If the result of this test is negative, the period of quarantine can end",,,,,,COVID-19 negative certification required for entering the country,"All travellers from a ""red"" zone, who are not resident in Belgium, are subject to the requirement for a pre-departure negative PCR test",The test must be taken within 72 hours before departure,"All travellers from a ""red"" zone must also undergo a second test on day 7 of the mandatory quarantine","Residents of Belgium, returning from a ""red"" zone after a stay of more than 48 hours, must undergo a mandatory test on day 1 and day 7 of quarantine",,,,,,,,
BLZ,Quarantine requirement at government designated site- subject to PCR,You may be randomly selected for secondary testing at the airport,If you receive a positive test result you will be put into mandatory quarantine for a minimum of 14 days at an approved quarantine hotel at your own expense,,,,,,COVID-19 negative certification required for entering the country,"Take a PCR test within 96 hours prior to travel or Rapid Antigen, Sofia, SD Blosensor, and ABBOTT (Panbio) COVID-19 test within 48 hours prior to travel","Although a negative PCR result will provide a fast track arrival process at the international airport, you may be randomly selected for secondary testing","If you are unable to take a test prior to travel, you must take a test on arrival at your own expense for US$50 per passenger",,,,,,,,,
BEN,Quarantine requirement at government designated site- subject to PCR,Those who test positive for COVID-19 will be subject to government-mandated isolation measures and will receive treatment free of charge,The Government of Benin will retain passengers passports until all testing and isolation requirements are met to ensure compliance,,,,,,COVID-19 negative certification subject to special conditions,All arriving passengers must undergo mandatory COVID-19 testing - one test on arrival and a second test 14 days after the first negative test result,,,,,,,,,,,
BMU,Quarantine requirement at government designated site- subject to PCR and origin,"From 2nd May anyone arriving in Bermuda will need to quarantine on arrival for 4 days, pending a negative Day 4 test",They may only be released from quarantine after receiving a negative result from the Day 4 COVID-19 test,"All travellers to Bermuda who are arriving from Brazil, India, or South Africa or who have visited Brazil, India or South Africa in the 14 days before they arrive in Bermuda must quarantine in their accommodation for 14 days",They may only be released from quarantine after receiving a negative result from the Day 14 COVID-19 test,"In this case, if the traveller is immunised, they are able to make use of the whole property in which they are staying whilst they are quarantining","However, if the traveller is not immunised they must stay in their room",,COVID-19 negative certification required for entering the country,Travellers are required to have a pre-departure PCR test,They will need to receive a negative COVID-19 PCR test no more than 5 days before travel,This applies to adults and children aged 10 and up,Those without a negative pre-departure test will not be able to obtain Travel Authorisation,,,,,,,,
BTN,Quarantine requirement at government designated site,"All travellers, including Bhutanese nationals, who are able to enter the country are subject to mandatory quarantine in a facility for 21 days",,,,,,,COVID-19 negative certification not required  not known,Thermal screening on arrival,,,,,,,,,,,
BOL,Quarantine requirement at government designated site,"On arrival you must quarantine for 10 days, and pay for a PCR test on the 7th day of quarantine",,,,,,,COVID-19 negative certification required for entering the country,Passengers arriving from all countries require a PCR test taken up to 72 hours before flying and is required for everybody over 5-years of age to enter Bolivia,,,,,,,,,,,
BES,Quarantine Requirement- Unknown where,Bonaire: Travellers must meet testing requirements and fill out a health declaration form,More information can be found on the website of the government of Bonaire,Saba: Quarantine requirements depend on the country of departure and on whether a traveller is vaccinated,"St Eustatius: Travellers from are subject to border screening, testing and quarantine requirements",All travellers must request entrance by email at least 72 hours before the planned date of arrival,,,COVID-19 negative certification required for entering the country,Travellers must complete a travel questionnaire and take a COVID-19 test before entering the country and on day 12 of quarantine,,,,,,,,,,,
BIH,Quarantine requirement at government designated site- subject to PCR,"Foreign nationals, including those with residence in Bosnia and Herzegovina, need a negative COVID-19 (PCR) test result that is not older than 48 hours",,,,,,,COVID-19 negative certification required for entering the country,"Foreign nationals, including those with residence in Bosnia and Herzegovina, need a negative COVID-19 (PCR) test result that is not older than 48 hours",Some groups are exempt from this rule,,,,,,,,,,
BWA,Quarantine requirement at government designated site,Returning residents may be subject to a 14-day mandatory quarantine period in government facilities at their own expense and compulsory COVID-19 testing,,,,,,,COVID-19 negative certification required for entering the country,You must present proof of a negative COVID-19 PCR test performed no more than 72 hours prior to your arrival,,,,,,,,,,,
BRA,"Quarantine Requirement- Unknown where, dependent on local federal state",Travellers who have travelled through the UK are subject to quarantine on arrival,Resident foreigners who have been in the UK during the previous 14 days will need to quarantine on arrival for 14 days,,,,,,COVID-19 negative certification required for entering the country,"Anyone travelling to Brazil by air needs to present to the airline company at check-in documentary evidence of a negative PCR test for COVID-19 taken within 72 hours of boarding in English, Spanish or Portuguese",All children under the age of 2 are exempt from this requirement,Children under the age of 12 who are accompanied by adult(s) who have proof of a negative test are also exempt,,,,,,,,,
VGB,Quarantine requirement at government pre-approved accommodation,Quarantine requirements depend on the country of departure and on whether a traveller is vaccinated,Unvaccinated travellers will be required to quarantine for seven days upon arrival,"All persons permitted to travel from India and Brazil will be subjected to quarantine in an approved location for a period of 14 days and tests on arrival, day 7 and day 14 and if all are negative be allowed full movement within the Territory",,,,,COVID-19 negative certification subject to special conditions,PCR requirements depend on the country of departure and on whether a traveller is vaccinated,A certified COVID-19 negative test within five days prior to arrival for all travellers from all countries,"All persons permitted to travel from India and Brazil will need approval prior to entry, and a certified rt-PCR negative test within five days prior to arrival",,,,,,,,,
BRN,Quarantine requirement at government designated site,you will need to go into quarantine on arrival at a government designated facility (usually a local hotel),Travellers are responsible for booking directly with hoteliers and must secure your accommodation before arrival,Currently quarantine is between 2 and 14 days,,,,,COVID-19 negative certification required for entering the country,"Brunei has announced that travellers to Brunei will need to provide a negative COVID-19 RT PCR test on arrival, obtained within 72 hours of travel",,,,,,,,,,,
BGR,Self-isolation at own accommodation,"Who do not present the negative result of a COVID-19 test, must complete a 10-day mandatory quarantine that may be ended upon the presentation of a document showing the negative result of a COVID-19 test performed within 24 hours from the entry","As of 1 May, travellers coming from India, Bangladesh, Brazil and some countries and territories in Africa are not allowed to enter Bulgaria, except Bulgarian citizens and permanent or long-term residents in the country (including their family members), to which a 10-day quarantine applies",,,,,,COVID-19 negative certification required for entering the country,"Bulgarian citizens, citizens of EU member states, Schengen countries and their family members are subject to the requirement for a pre-departure negative COVID-19 (PCR or antigen) test",The test must be taken within 72 hours (PCR) or 48 hours (antigen test) before departure,,,,,,,,,,
BFA,Self-isolation at own accommodation,"You are required to quarantine for 14 days on arrival in Burkina Faso, at a location of your choice and at your own cost",,,,,,,COVID-19 negative certification required for entering the country,All international travellers are required to present a negative COVID 19 test certificate dated no more than 5 days prior to departure to Burkina Faso,,,,,,,,,,,
BDI,Quarantine requirement at government designated site subject to PCR,All passengers arriving by air will have to undergo a quarantine period of seven days in a designated quarantine hotel,You will be tested at least twice: first on arrival at Bujumbura airport and then again on the sixth day of quarantine,"If you test positive you will be transferred to a treatment centre, at your own cost",,,,,COVID-19 negative certification required for entering the country,All travellers to Burundi must have proof of a negative COVID-19 test issued in the last 72 hours,,,,,,,,,,,
KHM,Quarantine requirement at government designated site,All travellers to Cambodia will be tested on arrival and then required to quarantine for 14 days at a facility designated by the Cambodian government,All travellers are required to take a COVID-19 test on the 13th day of quarantine at either the Khmer-Soviet Friendship Hospital in Phnom Penh or the Chak Angre Clinic in Phnom Penh,,,,,,COVID-19 negative certification required for entering the country,All travellers to Cambodia will be tested on arrival,All foreigners arriving in Cambodia will now be subject to a COVID-19 test on arrival (as well as requiring a COVID negative test before flying- no more than 72 hours),You will need to remain at a hotel or government facility until the results are known,,,,,,,,,
CMR,Quarantine requirement at government designated site,"If you have a proof of a recent (no older than three days before boarding) negative coronavirus test, you will normally not have to self-isolate",Anyone that has developed symptoms of Coronavirus on their travel or tests positive on arrival at Yaound√© or Douala airport must quarantine at a government-monitored hotel for 14 days,These requirements are regularly evolving,,,,,COVID-19 negative certification required for entering the country,Proof of a recent (no older than three days before application) negative coronavirus test must be provided to obtain a visa,"Separately, you must have proof of a recent (no older than three days before first boarding) negative coronavirus test to board your flight to Cameroon and to enter at Yaound√© or Douala Airports","Your negative coronavirus test result should be in PDF format, clearly stating the date of the test and the type of test (eg. PCR)",,,,,,,,,
CAN,Self-isolation at own accommodation after three-night stay at a government-authorized hotel,Everyone arriving in Canada is legally required to self-isolate for 14 days,You must also produce a credible self-isolation plan,"Travellers who are unable to produce a credible plan will be placed in a quarantine location, such as a hotel, for a 2-week period",From Feb,"22, officials will also require all international air travelers to stay at a government-authorized hotel for up to three nights, at their own expense, while they await the results of their arrival test",,,COVID-19 negative certification required to enter the country,"All airline passengers aged five years or older who are traveling to Canada must provide the airline with proof of having tested negative for COVID-19, using either a polymerase chain reaction (PCR) test or a loop-mediated isothermal amplification (LAMP) test taken no more than 72 hours prior to departing for Canada","In addition to the mandatory pre-departure tests, from 22 February, all travellers arriving in Canada by land and air, with some exceptions, will be required to take an additional test on arrival, and another toward the end of the 14 day self-isolation period",,,,,,,,,,
CPV,No updated information on self-isolation quarantine measures,,,,,,,,COVID-19 negative certification is required for entering the country,ou‚Äôll need a COVID-19 RT PCR nasal swab test or an antigen test (Ag-RDT) to enter Cape Verde,The test has to be done in the last 72 hours before travel,"If you do not present a COVID-19 test done in the last 72 hours, you will not be allowed to board your flight",Children under 7 do not need to present a COVID-19 test,,,,,,,,
CYM,Quarantine requirement at government designated site,"Only people, who have been pre-authorised may enter the Cayman Islands at this time and they are subject to mandatory quarantine for a period of 14 days in a government facility",,,,,,,COVID-19 negative certification not required    not known,,,,,,,,,,,,
CAF,Self-isolation at own accommodation,14 days self-isolation is mandatory for any person entering CAR who is coming from a location with local transmission of COVID-19,,,,,,,COVID-19 negative certification is required for entering the country,Some incoming passengers need to undertake a (COVID-19) test on arrival,You should arrange to take a private test,Some air companies and airports also require a negative COVID-19 test prior to boarding to CAR,You should check with your travel provider,,,,,,,,
TCD,Self-isolation at own accommodation,"If you enter Chad and are planning to stay for 7 days or more, you will need to surrender your passport, quarantine at home for 7 days and take a COVID-19 test on the seventh day",Passports will be returned upon presentation of the COVID-19 test receipt,,,,,,COVID-19 negative certification is required for entering the country,All international travellers need to present a negative COVID-19 PCR test certificate dated no more than 72 hours prior to arrival in Chad,,,,,,,,,,,
CHL,Self-isolation at own accommodation,"From 31 March at 5am, all travellers (including Chileans, resident and non-resident foreign nationals) must complete a mandatory 10-day quarantine on arrival in Chile","This cannot be avoided under any circumstances, such as with a proof of C19 vaccine",You will not be able to leave quarantine early with a negative PCR,"Additionally, any traveller who tests positive for COVID within the first 14 days from arrival must complete a further period of 11 days in a quarantine hotel",,,,COVID-19 negative certification is required for entering the country,"From 7 January 2021, all travellers (including Chileans, resident and non-resident foreign nationals) require a negative PCR test (rapid PCR tests will not be accepted) taken within 72-hours of boarding the flight to enter Chile",The mandatory 10-day quarantine will remain in place,,,,,,,,,,
CHN,Quarantine requirement at government designated site,"Following health checks on arrival, you will then need to enter quarantine for at least 14 days",At some points of entry children 14 and over will be required to quarantine alone irrespective of whether they test positive or negative for COVID,Quarantine is usually spent at either a centralised government hotel (with costs covered by the traveller) or your home,Quarantine requirements can change at short notice and may differ from province to province,,,,COVID-19 negative certification required for entering the country,Entry into China is subject to the certification of a Health Declaration Form from a Chinese Embassy for which you must provide evidence of negative nucleic acid and IgM antibody tests for COVID-19 taken no more than 48 hours before you travel,,,,,,,,,,,
COL,No declared quaraintine requirement,,,,,,,,COVID-19 negative certification is required for entering the country,"Arrivals to Colombia are subject to mandatory entry requirements: ‚Ä¢for air travel into Colombia, a negative PCR test issued within 96 hours prior to boarding will be required for all passengers (children included)",,,,,,,,,,,
COM,Quarantine requirement outside the country,Passengers arriving from or having transited through China or Japan face entry travel restrictions or quarantine,Travelers from counties with confirmed cases of COVID-19 may be required to have spent a period a period of 14 days in quarantine in a country that is free from COVID-19,,,,,,COVID-19 negative certification required for entering the country,,,,,,,,,,,,
COG,Quarantine requirement at government designated site or self-isolation at home,"Passengers who do not present a negative COVID-19 test upon entry will undertake a COVID-19 test at the airport, and are required to self-isolate for 14 days, pending the results",,,,,,,COVID-19 negative certification required for entering the country,"All passengers arriving in the Republic of Congo by commercial flights should provide proof of a negative coronavirus (COVID-19) test undertaken within 72 hours upon entry, with the exception of children under 11 years of age","Passengers who do not present a negative COVID-19 test upon entry will undertake a COVID-19 test at the airport, and need to self-isolate for 14 days, pending the results","All passengers departing from the Republic of Congo by commercial flights need to provide proof of a negative coronavirus test, undertaken within 72 hours prior to departure, with the exception of children under 11 years of age",,,,,,,,,
COK,Quarantine requirement outside territory,"The Cook Islands have restricted the entry of all travelers except for Cook Islanders and Cook Islands Permit Holders who have been present in New Zealand for at least 30 days and whose main purpose of travel is to return home, or to take up or resume employment",,,,,,,COVID-19 negative certification required for entering New Zealand,"The New Zealand Government will require all travellers to New Zealand (except those from Australia, Antarctica and most Pacific islands) to have a COVID-19 test taken and a negative result returned within 72 hours of their first scheduled international flight",,,,,,,,,,,
CRI,Self-isolation at own accommodation- subject to categorisation,Costa Rican Nationals and Legal Residents who enter the country may be required to self-isolate for 14-days,They should complete the epidemiological information form which will specify the exact actions to be taken,"Tourists entering from 1 August, under the amended restrictions stated above, will not be required to self-isolate",,,,,COVID-19 negative certification not required    not known,You will still need to buy insurance with specific cover requirements  and complete an advance epidemiological information form,,,,,,,,,,,
CIV,Self-isolation at own accommodation,You may be advised to self-isolate in your own accommodation for 14 days on arrival in C√¥te d‚ÄôIvoire,,,,,,,COVID-19 negative certification required,"If you are arriving in C√¥te d‚ÄôIvoire, you must provide evidence of a negative COVID-19 test result, dated a maximum of 5 days prior to travel, before being allowed to board your flight",,,,,,,,,,,
HRV,Self-isolation at own accommodation- subject to PCR,"In lack of a valid COVID-19 test, travellers will have to immediately perform, upon arrival in Croatia, a PCR or rapid antigen test at their own expenses, with the obligation to stay in self-isolation until a negative test result","If testing cannot be performed, a 10-day quarantine is imposed",Some categories of people are exempt from previously mentioned requirements,,,,,COVID-19 negative certification required,"Arriving from countries or regions classified as ""green"": Travellers - regardless of their citizenship - arriving from EU Member States or Schengen Associated countries and regions classified as ""green"" can enter Croatia without being subject to any isolation or testing requirement","Arriving from countries or regions NOT classified as ""green"": Travellers - regardless of their citizenship - arriving from EU Member States or Schengen Associated countries and regions NOT classified as ""green"" can enter Croatia without being subject to any isolation or testing requirement in the following cases: - Full vaccination;  - Recovery from COVID-19 in the last 6 months: positive result to a COVID-19 test (PCR or rapid antigen test) performed in the previous 180 days and older than 11 days from the date of arrival",All other travellers aged above 7 have to provide a negative COVID-19 test (PCR or rapid antigen test - RAT ),The results of the above tests must not be older than 48 hours (counting from the time of taking the swab to arriving at the border crossing point),,,,,,,,
CUB,Self-isolation at own accommodation- subject to PCR,If your PCR test is positive you will have to go into hospital or centre being run by Ministry of Public Health,Anyone who is travelling with you will have to self-isolate and have another PCR test,Independent travellers will have to self-isolate if they are staying in private accommodation until they receive notification their PCR test was negative,Cuban nationals and foreign residents will be given a PCR test on arrival and must self isolate and have a further PCR test on their fifth day,,,,COVID-19 negative certification required,"From 1 January 2021, everyone travelling to Cuba must have a certified proof of a negative result of a PCR test taken within 72 hours before travel at an accredited testing centre",Everyone arriving into Cuba will have a PCR test on arrival,,,,,,,,,,
