clinicName,Location,OpeningHours,Age,Contact
ACUMED MEDICAL GROUP,"BLK 38 TEBAN GARDENS ROAD #01-318/319
S(600038)",MONDAY-FRIDAY:8:30AM2:00PM\n5:00PM\n6:00PM\n9:00PM\nSATURDAY:8:30AM-1:00PM\n2:00PM-4:00PM\nSUNDAY/PH:9:00AM-12:00PM\n,"From13
andUp",65619366
ACUMED MEDICAL GROUP,"BLK 111 WOODLANDS STREET 13 #01-78
S(730111)",MONDAY-FRIDAY:8:30AM-1:00PM\n2:00PM-5:00PM\nSATURDAY:8:30AM-1:00PM\n,"From13
andUp",63627789
ACUMED MEDICAL GROUP,"BLK 64 YUNG KUANG ROAD #01-107/111
S(610064)",MONDAY-FRIDAY:8:30AM-9:00PM\nSATURDAY:8:30AM-1:00PM\nSUNDAY/PH:9:00AM-1:00PM\n,"From13
andUp",62656422
ACUMED MEDICAL GROUP,"71 PIONEER ROAD #01-06 TUAS AMENITY CENTRE
S(639591)",MONDAY-FRIDAY:8:30AM-5:00PM\nSATURDAY:8:30AM-1:00PM\nSUNDAY/PH:CLOSED\n,"From13
andUp",68615996
ACUMED MEDICAL GROUP,"301 BOON LAY WAY #01-18/19 BOON LAY MRT
STATION S(649846)",MONDAY-FRIDAY:8:30AM-1PM\n1:30PM-5PM\n5:30PM-9:00PM\nSATURDAY:6:00PM-9PM\nSUNDAY/PH:9:00AM-1:00PM\n,"From13
andUp",65159919
ACUMED MEDICAL GROUP,"BLK 214 BEDOK NORTH STREET 1 #01-165
S(460214)",MONDAY-FRIDAY:8:30AM-1PM\n2PM-5PM\nSATURDAY:8:30AM-1PM\nSUNDAY/PH:CLOSED\n,"From13
andUp",64438077
ADMIRALTY FAMILY MEDICAL,BLK 693 WOODLANDS AVENUE 6 #01-08  S(730693),TUESDAY/THURSDAY8:30AM-12PM/2PM-4PM\nNOTAVAILABLEONEVEOFPUBLICHOLIDAYS/PUBLICHOLIDAYS\n,From13andUp,69048894
AE MEDICAL CLINIC,BLK 467B FERNVALE LINK #01-529  S(792467),"MONDAY,THURSDAY,FRIDAY:6-10PM\nTUESDAYS:8AM-12PM\nSUNDAY:8:30AM-12:30PM\n",From0andUp,68162900
ALEXANDRA FAMILY CLINIC  SURGERY,BLK 57 DAWSON ROAD #02-02  S(142057),MONDAY-FRIDAY:11:30AM-2:30PM\n,From9andUp,64797022
AMDA INTERNATIONAL PEACE,9 TAMAN SERASI #01-11 BOTANIC GARDENS VIEW,MONDAY-FRIDAY9AM-12:30PM\n2-6:30PM\n,From0andUp,66941661
AMERICAN INTERNATIONAL CLINIC PTE LTD,"10 SINARAN DRIVE #10-09/10 NOVENA , MEDICAL CENTER  S(307506)",MONDAY-FRIDAY9AM-5PM\nSATURDAY9AM-1PM\n,From13andUp,63977129
ANTEH DISPENSARY PTE LTD,"1 LORONG 22 GEYLANG #01-02 GRANDVIEW SUITES   , S(398664)","MONDAY-FRIDAY9AM-12,2PM-5PM\n7PM-11PM\nSATURDAY9AM-12PM\n1PM-6PM\n7PM-11PM\nSUNDAY/PH1PM-6PM\n7PM-11PM\n",From7andUp,67441809
APEX MEDICAL CENTRE JURONG PTE LTD,BLK 960 JURONG WEST ST 92 #01-172  S(640960),MONDAY-FRIDAY:8AM-9PM\nSATURDAY:8AM-12PM\nSUNDAY:8AM-12PM\nPH:8AM-12PM\n,From7andUp,67912292
APPLETREE MEDICAL CENTRE,BLK 416 ANG MO KIO AVENUE 10 #01-997 TECK GHEE HEARTLANDS  S(560416),MONDAY-SATURDAY9AM-1130AM(FORPDT)\n,From7andUp,64548361
ARIS MEDICAL CLINIC,989 BUKIT TIMAH ROAD MAPLEWOODS  S(589629),MONDAY-FRIDAY:9:30AM-12:30PM\n(BYAPPOINTMENTONLY)\n,From13andUp,64631197
ASIA RETINA EYE SURGERY CENTRE,"290 ORCHARD ROAD #15-10 THE PARAGON   , S(238859)",MONDAY-FRIDAY:9AM-5:30PM\nSATURDAY:9AM-12:30PM\nCLOSEDONPUBLICHOLIDAYS\n,From13andUp,67320007
ASSURANCE MEDICARE CLINIC AND SURGERY,370 TANJONG KATONG ROAD  S(437127),MONDAY-FRIDAY:8:30AM-12:30PM\n2:00PM-3:30PM\nSATURDAY:8:30AM-11:30PM\nSUNDAY/PH:CLOSED\n,From0andUp,63457810
ATRIO FAMILY CLINIC,BLK 291 YISHUN STREET 22 #01-349  S(760291),MONDAY-FRIDAY:8AM-2PM\n5:30PM-9:30PM\nSATURDAYS:8AM-2PM\n5:30PM-9:30PM\nSUNDAYS:9AM-2PM\n5:30PM-9:30PM\nCLOSEDONPUBLICHOLIDAYS\n,From13andUp,67520838
ATRIO FAMILY CLINIC AMK PTE LTD,BLK 532 ANG MO KIO AVENUE 10 #01-2461 CHENG SAN CENTRE  S(560532),MONDAY-FRIDAY:08:00AM-02:00PM\nTUESDAY-WEDNESDAY:08:00AM-02:00PM\n05:30PM\n-09:30PM\nFRIDAY:08:00AM-02:00PM\n05:30PM-09:30PM\nSATURDAY:08:00AM-02:00PM\nSUNDAY:09:00AM-02:00PM\n,From13andUp,64554282
BEDOK  CENTRAL CLINIC,BLK 214 BEDOK NORTH STREET 1 #01-161  S(460214),MONDAY-SATURDAY:9AM-11:00AM\n,From13andUp,62424489
BEDOK DAY  NIGHT CLINIC,BLK 418 BEDOK NORTH AVENUE 2 #01-85  S(460418),"MONDAY-FRIDAY:0900-1530,1830-2100HRS\nSATURDAY-SUNDAY:PHS0930-1230HRS\n",From13andUp,64441104
BETHESDA MEDICAL CENTRE,"3 TEMASEK BOULEVARD #03-330 SUNTEC CITY MALL   , S(038983)",MONDAY-FRIDAY:08:30AM-1PM\n2:00PM-5:00PM\nSATURDAY:9:00AM-12:00PM\n,From7andUp,63378933
BINJAI MEDICAL  PAINCARE CLINIC,23 BINJAI PARK  S(589828),MONDAY-FRIDAY:9AM-1PM\n2PM-4PM\n6PM-9PM\nSATURDAY9AM-1PM\nSUNDAYANDPUBLICHOLIDAYSCLOSED\n,From7andUp,64693737
BISHAN GRACE CLINIC,BLK 150 BISHAN STREET 11 #01-151  S(570150),MONDAY-WEDNESDAY08:30-02:00PM\nTHURSDAY-FRIDAY:08:30AM-1200PM\n,From0andUp,62542232
BLESS MEDICAL CENTRE PTE LTD,BLK 221 BOON LAY PLACE #01-108 BOON LAY SHOPPING CENTRE  S(640221),MONDAY-FRIDAY:8AM-4:00PM\nSATURDAY8AM-11AM\n,From13andUp,62664119
BLISSCARE MEDICAL,"10 SINARAN DRIVE #10-30 NOVENA MEDICAL , CENTRE   S(307506)",MONDAY-FRIDAY:9AM-6PM\nSATURDAY9AM-1PM\n,From0andUp,62598662
BRADDELL MEDICAL CLINIC,BLK 124 LORONG 1 TOA PAYOH #01-489  S(310124),MONDAY-SUNDAY:08:00AM-01:00PM\n06:00PM-11:00PM\n,From0andUp,88142803
BUKIT TIMAH CLINIC,621A BUKIT TIMAH ROAD  S(269731),MONDAY-FRIDAY:8:30AM-12PM\n2PM-4:30PM\nSATURDAY:8:30AM-12PM\n,From13andUp,64665458
CMC WONG BINJAI CLINIC,15 BINJAI PARK  S(589824),PUBLICHOLIDAY:CLOSED\nMONDAY-FRIDAY:09:00AM-05:30PM\nSATURDAY:09:00AM-01:00PM\nSUNDAY:09:30AM-11:00AM\n,From0andUp,64693737
C3 FAMILY CLINIC ALJUNIED CRESCENT,BLK 95 ALJUNIED CRESCENT #01-509 MACPHERSON VIEW  S(380095),"MONDAY,THURSDAY:07:30AM-02:30PM\nTUESDAY,WEDNESDAY,FRIDAY:07:30AM-12:30PM\nSATURDAY,SUNDAY:07:30AM-10:30AM,PH:CLOSED\nPLEASECONTACTCLINIC-ARRANGEAPPOINTMENTFORPEDIATRICSWAB\n",From0andUp,67422285
CAMRY MEDICAL CENTRE,BLK 95 TOA PAYOH LORONG 4 #01-66  S(310095),SWABBINGHOURS:MONDAY-FRIDAY8:30-12PM\n1PM-2PM\n,From0andUp,62580553
CARE FAMILY CLINIC,BLK 663 BUFFALO ROAD #01-12  S(210663),MONDAY-FRIDAY:8:30AM-12:30PM\n1:30PM-4PM\nMONDAYANDWEDNESDAY:6PM-9PM\nSATURDAY:8:30AM-12:30PM\nSUNDAY:1PM-6PM\n,From13andUp,62995868
CCK FAMILY CLINIC,BLK 304 CHOA CHU KANG AVE 4 #01-653  S(680304),MONDAY-FRIDAYSWABTIMINGAT12PM\n,From7andUp,68910338
CENTRAL 24HR CLINIC  PIONEER NORTH ,BLK 959 JURONG WEST STREET 92 #01-160  S(640959),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,62512775
CENTRAL 24HR CLINIC BEDOK,"219 BEDOK CENTRAL #01-124 MULTI STOREY CAR , PARK  S(460219)",MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,62476122
CENTRAL 24HR CLINIC CLEMENTI,BLK 450 CLEMENTI AVE 3 #01-291  S(120450),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,67732925
CENTRAL 24HR CLINIC HOUGANG,681 HOUGANG AVE 8 #01-831  S(530681),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,63876965
CENTRAL 24HR CLINIC JURONG WEST,BLK 492 JURONG WEST STREET 41 #01-54  S(640492),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,65657484
CENTRAL 24HR CLINIC MARSILING,BLK 303 WOODLANDS STREET 31 #01-185  S(730303),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,Call-confirm,63652908
CENTRAL 24HR CLINIC PASIR RIS,BLK 446 PASIR RIS DRIVE 6 #01-122  S(510446),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,Call-confirm,65822640
CENTRAL 24HR CLINIC TAMPINES,BLK 201D TAMPINES STREET 21 #01-1151  S(524201),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,Call-confirm,69687001
CENTRAL 24HR CLINIC YISHUN,701A YISHUN AVE 5 #01-04  S(761701),MONDAY-FRIDAY:9AM-03:00PM\nSATURDAY-SUNDAY:9AM-11AM\n,From13andUp,67597985
CENTRE FOR KIDNEY DISEASES,"304 ORCHARD ROAD #05-23 LUCKY PLAZA   , S(238863)",MONDAY-FRIDAY:0830AM-5PM\nSATURDAY/SUNDAY/PUBLICHOLIDAYS:0830AM-01:00PM\n,From0andUp,67364691
CHAN FAMILY CLINIC,"865 MOUNTBATTEN ROAD #02-81H KATONG , SHOPPING CENTRE  S(437844)",MONDAY-FRIDAY:09:00AM-03:30PM\nSATURDAY:09:00AM-12:30PM\n,From13andUp,63454683
CHANGI CLINIC,BLK 848 SIMS AVENUE #01-734 EUNOSVILLE  S(400848),"MONDAY-FRIDAY,830-1230,1400-1700\nSATURDAYS0800-1200:CLOSED\nSUNDAYANDPUBLICHOLIDAYS\n",From13andUp,67428865
CHEST AND INTERNAL MEDICINE CLINIC,"38 IRRAWADDY ROAD #10-25 MOUNT ELIZABETH , NOVENA SPECIALIST CENTRE  S(329563)",MONDAY-FRIDAY:9AM-5PM\nSATURDAY9AM-1PM\n,From13andUp,66944333
CHIA CLINIC AND SURGERY,"27 FOCH ROAD #01-04 HOA NAM BUILDING   , S(209264)",MONDAY-FRIDAY:9AM-12:30PM\n2PM-5PM\nSATURDAY:9AM-12:30PM\n,From13andUp,62980959
CHIN CHOO CLINIC,BLK 35 CIRCUIT ROAD #01-430  S(370035),"MONDAY-FRIDAY:9AM-11:45AM,2:00PM\n-3:45PM\n6:00PM-8:45PM\n,SATURDAY:9AM-11:45AM\n",From7andUp,67452815
CHINATOWN WELLNESS CLINIC,"531 UPPER CROSS STREET #02-02 HONG LIM , COMPLEX  S(050531)","MONDAY,TUESDAYS,THURSDAY,FRIDAY,830AM-1PM\n2PM-5PM\nWEDNESDAY,830AM-1PM\nSATURDAY,9AM-1PM\nSUNDAY/PUBLICHOLIDAYSCLOSED\n",From13andUp,62267188
CHINATOWN WELLNESS CLINIC,"531 UPPER CROSS STREET #02-02 HONG LIM , COMPLEX  S(050531)","MONDAY,TUESDAYS,THURSDAY,FRIDAY,830AM-1PM\n2PM-5PM\nWEDNESDAY,830AM-1PM\nSATURDAY,9AM-1PM\nSUNDAY/PUBLICHOLIDAYSCLOSED\n",From13andUp,62267188
CHNG CLINIC AND SURGERY,BLK 178 TOA PAYOH CENTRAL #01-236  S(310178),MONDAY-FRIDAY8:30AM-12:30PM\n2PM-4PM\nSATURDAYANDSUNDAY9AM-12PM\nPHCLOSED\n,From7andUp,62504522
CHUA  PARTNERS FAMILY CLINIC,18 JALAN MEMBINA #02-05  S(164018),MONDAY-FRIDAY9AM-2PM\n6PM-9PM\nSATURDAY9AM-1PM\nCLOSEDONSUNDAYANDPH\n,From13andUp,62719004
CHUA MEDICAL CENTRE PTE LTD,BLK 248 SIMEI ST 3 #01-134  S(520248),"MONDAY-FRIDAY:9AM-12:30PM\n2:30-6PM\nWEDNESDAYAFTERPMCLOSED\n,SUNDAY:9AM-3PM\n",From13andUp,67853825
CHUA MEDICAL CLINIC AND SURGERY PTE LTD,BLK 642 BUKIT BATOK CENTRAL #01-52  S(650642),"MONDAY,WEDNESDAY,FRIDAY:8:30AM-4:30PM\nTUESDAY,THURSDAY:4PM\n4:30PM\nSATURDAY:8:30AM-12:30PM\n",From0andUp,69726948
CHUAH CLINIC  SURGERY PTE LTD,BLK 113 ALJUNIED AVE 2 #01-19  S(380113),MONDAY-SUNDAY8:30AM-4PM\n,From0andUp,67452104
CHUNG  EE MEDICAL CLINIC,BLK 10 TELOK BLANGAH CRESCENT #01-151  S(090010),MONDAY/TUESDAY/THURSDAY/FRIDAY:9AM-04:00PM\nWEDNESDAY/SATURDAY:9AM-12:00PM\nSUNDAY/PH:CLOSED\n,From0andUp,69963782
CITYHEALTH CLINIC  SURGERY,"152 BEACH ROAD #03-08 GATEWAY EAST   , S(189721)",MONDAY-FRIDAY9AM-12:00PM\n2:00PM-4:00PM\n,From13andUp,62995398
CLARI HEALTH CBD TRAVEL CLINIC,"10 ANSON ROAD #16-01E INTERNATIONAL , PLAZA  S(079903)",WEDNESDAY12PM-6PM\nSATURDAY-10AM-3PM\n,From13andUp,63138209
CLIFFORD DISPENSARY PTE LTD,"350 ORCHARD ROAD #15-03 SHAW HOUSE   , S(238868)",MONDAY-FRIDAY9AM-1PM\n2PM-5PM\nSATURDAYS9AM-1PM\n(BYAPPOINTMENTONLY)\n,From7andUp,67374341
CLOVER MEDICAL CLINIC PTE LTD,"21 CHOA CHU KANG NORTH 6 #01-01 YEW TEE , POINT  S(689578)",MONDAY-THURSDAY:08:30AM-04:00PMFRIDAY-SATURDAY:9AM-12PMHOURS\n,From7andUp,65094480
COMFORT CLINIC  SURGERY,BLK 214 SERANGOON AVE 4 #01-100  S(550214),"MONDAY-FRIDAY:9:00AM-12:00PM\n2:00PM\n-3:30PM\nSATURDAY,SUNDAY:9:00AM-12:00PM\nPH:CLOSED\n",From7andUp,62807271
COMPLETE HEALTHCARE INTERNATIONAL,"350 ORCHARD ROAD #10-00 SHAW HOUSE , S(238868)",MONDAY-FRIDAY:8:30AM-12:30PM\n2:00PM-5:00PM\nSATURDAY:8:30AM-12:00PM\nSUNDAYANDPUBLICHOLIDAY:CLOSE\n,From13andUp,67762288
CORNERSTONE MEDICAL,BLK 29A GHIM MOH LINK #01-03  S(271029),MONDAY-FRIDAY:9AM-3PM\nSATURDAY:9AM-1PM\nPH:CLOSED\n,From7andUp,62620018
CORNERSTONE MEDICAL BIDADARI,BLK 106A BIDADARI PARK DRIVE #01-03  S(341106),MONDAY-FRIDAY:9AM-3PM\nSATURDAY:9AM-1PM\nSUNDAYANDPH:CLOSED\n,From7andUp,67075660
CRAWFURD MEDICAL,"3 TEMASEK BOULEVARD #02-482 SUNTEC CITY MALL   , S(038983)","MONDAY-FRIDAY-8:30AM-12:00PM/2:00PM-4:00PM\nSATURDAYS-8:30AM-11:00AM,CLOSED\nONSUNDAYSANDPUBLICHOLIDAYS\n",From0andUp,68049580
CROSSROADS FAMILY CLINIC,BLK 601B TAMPINES AVENUE 9 #01-10 TAMPINES GREENRIDGES  S(522601),"MONDAY-SATURDAY:8AM-12:30PM\nMONDAY,TUESDAYS,WEDNESDAY/FRIDAY:2-4PM\nMONDAY,WEDNESDAY,SUNDAY:5:30-8:30PM\n",From0andUp,65927080
DA CLINIC  ANSON,"10 ANSON ROAD #01-12 INTERNATIONAL PLAZA   , S(079903)",MONDAY-FRIDAY:9AM-7PM\n,From13andUp,69541012
DA CLINIC  BISHAN,BLK 501 BISHAN STREET 11 #01-374  S(570501),MONDAY-FRIDAY:09:00AM-09:00PM\nSATURDAY-SUNDAY:09:00AM-12:00PM\n06:00PM-09:00PM\n,From13andUp,62623759
DA CLINIC  BUKIT BATOK,BLK 451 BUKIT BATOK WEST AVENUE 6 #01-02  S(650451),PUBLICHOLIDAY:09:00AM-12:00PM\n06:00PM-09:00PM\nSATURDAY-SUNDAY:09:00AM-12:00PM\n06:00PM-09:00PM\n,From13andUp,62599531
DA CLINIC  POTONG PASIR,"51 UPPER SERANGOON ROAD #01-53 THE POIZ , CENTRE  S(347697)",PUBLICHOLIDAY:09:00AM-09:00PM\nMONDAY-SUNDAY:09:00AM-09:00PM\n,From13andUp,69540513
DA CLINIC  SEMBAWANG,"604 SEMBAWANG ROAD #B1-06 SEMBAWANG , SHOPPING CENTRE  S(758459)",PUBLICHOLIDAY:CLOSED\nMONDAY:CLOSED\nTUESDAY:09:00AM-02:00PM\nWEDNESDAY-SUNDAY:CLOSED\n,From13andUp,62193658
DA CLINIC  TAMAN JURONG,BLK 140  CORPORATION DRIVE #01-03  S(610410),MONDAY:9AM-9PM\n6PM\n8:45PM\nNOPHYSICALDOC-RSFROM4PM\n6PM\nTUESDAY:9AM-4PM\nWEDNESDAY:9AM-6:45PM\nTHURSDAY:9AM-4PM\nFRIDAY:9AM-5:45PM\n,From13andUp,69541012
DAYSPRING MEDICAL CLINIC TAMPINES,"2 TAMPINES CENTRAL 5 #04-09 CENTURY SQUARE   , S(529509)","MONDAY-FRIDAY:9AM-1PM\n2PM-5PM\nAPPOINTMENTNOTREQUIRED,6PM\n-9PM\nEVENING-BYAPPOINTMENTSONLYSATURDAY9AM-1PM\nAPPOINTMENTNOTREQUIRED\n",From0andUp,67890123
DEDICARE MEDICAL PRACTICE  SURGERY  HOUGANG,BLK 419 HOUGANG AVENUE 8 #01-K1  S(530419),MONDAY:8AM-1PM\n2PM-8PM\nTUESDAY:2PM-8PM\nWEDNESDAY:2PM-8PM\nTHURSDAY:8AM-1PM\n2PM-8PM\nFRIDAY:8AM-1PM\n2PM-8PM\nSATURDAY:2PM-5PM\nSUNDAY:8AM-1PM\n,From13andUp,69803066
DOCTORS CLINIC  SURGERY,BLK 305 WOODLANDS STREET 31 #01-91  S(730305),"MONDAY-FRIDAY:8:30AM-12PM,2PM-4:30PM\n6:30PM-9PM\nSATURDAY:8:30AM-12PM:,SUNDAY:8:30AM-12PM\n",From13andUp,62691017
DOCTORS INC MEDICAL GROUP,BLK 178 TOA PAYOH CENTRAL #01-206  S(310178),"MONDAY-FRIDAY9AM-5PM\nSATURDAY6AM-8AM,9AM-1PM\n5PM-8PM\nSUNDAY5PM-8PM\n",From13andUp,63563633
DOCTORS KOO LOH  ASSOCIATES PTE LTD,BLK 152 YUNG HO RD #B1-03  S(610152),MONDAY-FRIDAY:9:00AM-12:00PM\n2:00PM-4:00PM\n,From13andUp,62665939
DOVER MEDICAL CENTRE,"1 FUSIONOPOLIS WAY #03-05 CONNEXIS   , S(138632)",MONDAY-FRIDAY:8:30AM-12:30PM\n01:30PM\n-05:45PM\nSATURDAY-SUNDAY:CLOSED\nPH:CLOSED\n,From7andUp,67756266
DR STANLEY PECK FAMILY CLINIC,BLK 636 BUKIT BATOK CENTRAL #01-06  S(650636),MONDAY-THURSDAYS8AM-1PM\nAND6PM\n-9PM\nFRIDAY8AM-1PM\nANDSATURDAYS8AM-12PM:CLOSED\nONSUNDAYSANDPUBLICHOLIDAYS\n,From0andUp,69177889
DRS BAIN  PARTNERS,"1 RAFFLES QUAY #09-03 ONE RAFFLES QUAY-, NORTH TOWER  S(048583)",PUBLICHOLIDAY:CLOSED\nMONDAY-FRIDAY:08:30AM-01:00PM\n02:00PM-05:00PM\nSATURDAY:08:30AM-01:00PM\nSUNDAY:CLOSED\n,From2andUp,65325522
DRS KOO  NEOH MEDICAL GROUP,"61 CHOA CHU KANG DRIVE #02-01 YEW TEE , MRT STATION  S(689715)","MONDAY-FRIDAY:9AM-11:30AM2PM-4PM\n6:30PM-8PM\nSATURDAY:9AM-11:30AM,CLOSED\nONSUNDAY/PH,MONDAY-FRIDAY:8:30AM-1PM\n2PM-5:30PM\n6PM-8:30PM\nSATURDAY/SUNDAY:8:30AM-12PM\n2:30PM-5PM\n6PM-8PM\nPH:9AM-11:30AM",From13andUp,63677066
DRS KOO  NEOH MEDICAL GROUP,"70 WOODLANDS AVENUE 7 #01-01 ADMIRALTY , MRT STATION  S(738344)",MONDAY-FRIDAY:8:30AM-1PM\n2PM\nTP5:30PM\n6PM-8:30PM\nSATURDAY/SUNDAY:8:30AM-12PM\n2:30PM-5PM\n6PM-8PM\nPH:9AM-11:30AM\n,,
DRS KOO  NEOH MEDICAL GROUP,"900 SOUTH WOODLANDS DRIVE #04-05 , WOODLANDS CIVIC CENTRE  S(730900)",MONDAY-FRIDAY:8:30AM-12:30PM\n2PM-4:30PM\nSATURDAY:8:30AM-12:30PM\nCLOSED\nONSUNDAY/PH\n,From13andUp,64626294
DRS KOO FOK  ASSOCIATES PTE LTD,55 BENOI ROAD #01-12  S(629907),MONDAY-FRIDAY:8:30AM-12PMSATURDAY/SUNDAY/PH:CLOSED\n,From13andUp,62922975
DRS SINGH  PARTNERS RAFFLES CITY MEDICAL CENTRE,"252 NORTH BRIDGE RD #02-16 RAFFLES CITY , SHOPPING CENTRE  S(179103)",MONDAY-SATURDAY9:00AM-12:30PM\nSUNDAYANDPUBLICHOLIDAY:CLOSED\n,From13andUp,63388883
DRS TANG  PARTNERS PTE LTD,64 YUNG KUANG ROAD #01-115  S(610064),MONDAY-FRIDAY:9:00AM-5:00PM\nSATURDAY:9:00AM-12:00PM\nSUNDAY:CLOSED\nPH:CLOSED\n,From7andUp,62656077
DRS BAIN  PARTNERS,"2 INTERNATIONAL BUSINESS PARK #01- , 06A/07A THE STRATEGY S(609930)","MONDAY-FRIDAY0830-1300HRS1400-1700HRS,SATURDAY0900-1230HR,SUNDAYANDPUBLICHOLIDAYS-CLOSED\n",From13andUp,63162648
DTAP  NOVENA,"10 SINARAN DRIVE #08-31 NOVENA MEDICAL , CENTER  S(307506)",MONDAY-FRIDAY8:30AM-5:30PM\nSATURDAY9AM-1PM\n,From13andUp,63972095
EJ TAN CLINIC  SURGERY,BLK 104 JURONG EAST STREET 13 #01-100 JURONG EAST VILLE  S(600104),MONDAY-FRIDAY:08:30AM-12:30PM\n02:00PM\n-04:00PM\n07:00PM\n-09:30PM\nSATURDAY:08:30AM-12:30PM\n07:00PM-09:00PM\n,From13andUp,65606600
EC FAMILY CLINIC PTE LTD,"30 EUNOS CRESCENT #01-17/18 EUNOS MRT , STATION  S(409423)",MONDAY-FRIDAY:9:30AM-1PM\n4:30PM\n-7:00PM\nSATURDAY10:00AM-1PM\n4:30PM\n-6:00PM\nSUNDAY10AM-1PM\n2:30PM-5PM\nCLOSED\nONPUBLICHOLIDAY\n,From13andUp,67426103
EDGEDALE MEDICAL CLINIC,BLK 122A EDGEDALE PLAINS #01-187  S(821122),MONDAY:9AM-1PM\n2:30-4:30PM\n6-9PM\nTUESDAYS-FRIDAY:9AM-1PM\n6-9PM\nWEEKENDS:9AM-1PM\n6:30-8:30PM\nPH:CLOSED\n,From13andUp,66352272
EDGEDALE MEDICAL CLINIC CAMBRIDGE,BLK 40 CAMBRIDGE ROAD #01-115  S(210040),WEEKDAYS:9AM-12PM\nWEEKENDS/PH:CLOSED\n,From13andUp,62921088
EE CLINIC,128 ANG MO KIO AVE 3 #01-1859  S(560128),"MONDAY,TUESDAY,THURSDAY,FRIDAY:0830-1200,1400-1630,1900-2100,WEDNESDAY:0830-1200,1400-1630,SATURDAY:0830-1200,SUNDAY/PH:CLOSED\n",From7andUp,64521042
EHA CLINIC  JURONG,BLK 492 JURONG WEST STREET 41 #01-40  S(640492),MONDAY-FRIDAY:09:00AM-01:00PM\n02:30PM\n-04:30PM\n06:30PM\n-10:00PM\nSATURDAY-SUNDAY:09:00AM-01:00PM\n05:00PM\n-10:00PM\n,From13andUp,65660257
